City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,atafu village,-8.5421,-172.5159,29.05,71,98,5.93,TK,1698631726
132,chui,-33.6971,-53.4616,17.15,94,18,1.73,UY,1698631726
133,katsuura,35.1333,140.3,19.43,53,0,4.11,JP,1698631726
134,bardsir,29.9227,56.5743,12.97,51,73,1.49,IR,1698631727
135,sovetskiy,61.3614,63.5842,-5.06,45,100,4.02,RU,1698631727
136,edinburgh of the seven seas,-37.0676,-12.3116,10.77,65,38,12.19,SH,1698631603
137,umm kaddadah,13.6017,26.6876,26.99,16,30,4.52,SD,1698631591
138,fort st. john,56.2499,-120.8529,-1.06,69,75,1.54,CA,1698631491
139,ouesso,1.6136,16.0517,22.0,89,83,0.32,CG,1698631728
140,stanley,54.868,-1.6985,7.06,95,75,3.6,GB,1698631729
141,sokoni,-6.4333,39.55,26.44,82,92,4.58,TZ,1698631729
142,puerto ayora,-0.7393,-90.3518,24.19,90,100,2.24,EC,1698631729
143,vernon,50.2581,-119.2691,2.64,64,16,0.51,CA,1698631486
144,ancud,-41.8697,-73.8203,6.98,85,100,10.18,CL,1698631730
145,enewetak,11.3474,162.3373,28.94,71,88,9.11,MH,1698631730
146,nili,33.7218,66.1302,10.68,42,2,2.52,AF,1698631730
147,port lincoln,-34.7333,135.8667,16.37,54,45,9.32,AU,1698631731
148,cidreira,-30.1811,-50.2056,20.48,89,100,3.37,BR,1698631431
149,lebu,-37.6167,-73.65,7.65,63,20,1.86,CL,1698631731
150,al jawf,29.5,38.75,16.78,78,97,3.77,SA,1698631732
151,raub,3.7899,101.857,28.17,88,93,0.36,MY,1698631732
152,acajutla,13.5928,-89.8275,25.95,85,100,5.39,SV,1698631732
153,lerwick,60.1545,-1.1494,8.0,65,12,13.08,GB,1698631733
154,waingapu,-9.6567,120.2641,30.76,59,56,4.7,ID,1698631733
155,west island,-12.1568,96.8225,26.99,78,75,6.17,CC,1698631733
156,monjaras,13.2006,-87.3742,24.7,91,99,1.81,HN,1698631733
157,derzhavinsk,51.1,66.3167,9.02,79,69,9.12,KZ,1698631734
158,gebeit,21.0667,36.3167,23.0,84,0,2.48,SD,1698631734
159,karratha,-20.7377,116.8463,35.7,20,74,2.06,AU,1698631735
160,evanston,42.0411,-87.6901,5.1,81,100,5.66,US,1698631473
161,gokceada,40.2011,25.909,14.6,82,0,6.49,TR,1698631735
162,tiksi,71.6872,128.8694,-15.49,96,99,3.1,RU,1698631735
163,sandnessjoen,66.0217,12.6316,-3.71,73,24,3.68,NO,1698631736
164,xacmaz,41.4635,48.806,16.07,68,100,2.47,AZ,1698631736
165,"laikit, laikit ii (dimembe)",1.4792,124.9735,31.47,49,20,2.06,ID,1698631736
166,chebba,35.2372,11.115,24.09,85,97,7.83,TN,1698631737
167,fortuna,40.5982,-124.1573,13.14,65,0,0.0,US,1698631737
168,utrik,11.2278,169.8474,28.09,80,39,9.01,MH,1698631738
169,blackwater,-23.5833,148.8833,28.72,35,100,2.42,AU,1698631738
170,vadso,70.0744,29.7487,-4.91,86,20,3.09,NO,1698631738
171,hasaki,35.7333,140.8333,21.27,59,0,7.71,JP,1698631739
172,nushki,29.5542,66.0215,18.93,33,96,1.28,PK,1698631739
173,kodiak,57.79,-152.4072,7.73,100,100,2.06,US,1698631739
174,sao felix do xingu,-6.6447,-51.995,25.56,61,4,0.58,BR,1698631740
175,bridgewater,44.3835,-64.5155,6.49,81,100,0.45,CA,1698631741
176,cochin,9.9399,76.2602,26.68,85,100,1.78,IN,1698631443
177,funafuti,-8.5243,179.1942,32.0,84,75,0.0,TV,1698631742
178,tolanaro,-25.0319,46.9987,22.16,92,14,1.28,MG,1698631742
179,kavaratti,10.5669,72.642,27.73,72,100,1.52,IN,1698631742
180,uturoa,-16.7333,-151.4333,26.57,78,7,5.97,PF,1698631743
181,cururupu,-1.8283,-44.8683,24.56,84,15,2.0,BR,1698631743
182,saldanha,-33.0117,17.9442,14.02,54,0,7.42,ZA,1698631744
183,hamilton,39.1834,-84.5333,13.75,96,100,1.54,US,1698631744
184,walvis bay,-22.9575,14.5053,13.76,88,0,2.64,,1698631745
185,micheweni,-4.9667,39.8333,25.51,87,100,3.5,TZ,1698631745
186,sarina,-21.4333,149.2167,29.04,45,1,4.58,AU,1698631745
187,savanna-la-mar,18.219,-78.1332,26.63,80,19,0.21,JM,1698631746
188,la passe,45.5549,-0.8967,12.21,95,100,5.62,FR,1698631746
189,myeik,12.4333,98.6,27.85,76,85,1.56,MM,1698631746
190,zhoushan,30.0108,122.2047,22.47,61,15,3.59,CN,1698631747
191,maues,-3.3836,-57.7186,29.03,49,42,1.45,BR,1698631747
192,clinton,42.587,-82.9199,8.3,88,100,2.57,US,1698631490
193,yambio,4.5721,28.3955,20.49,94,99,0.94,SS,1698631748
194,zaozersk,69.4005,32.4476,-7.26,95,100,2.63,RU,1698631748
195,fort-shevchenko,44.5086,50.263,14.41,68,100,3.29,KZ,1698631748
196,queenstown,-31.8976,26.8753,3.82,82,26,4.83,ZA,1698631689
197,nantucket,41.2835,-70.0995,11.08,85,100,6.69,US,1698631749
198,kodinsk,58.6881,99.1844,-9.76,73,37,1.1,RU,1698631749
199,gadzhiyevo,69.2551,33.3362,-6.78,94,100,3.34,RU,1698631750
200,nguigmi,14.2495,13.1092,27.76,23,0,5.03,NE,1698631750
201,anadyr,64.75,177.4833,-1.72,92,75,9.0,RU,1698631750
202,port-cartier,50.0334,-66.8654,0.97,54,45,5.29,CA,1698631751
203,iskateley,67.6803,53.1512,-8.88,86,100,5.81,RU,1698631751
204,kayangel,8.0823,134.7173,28.61,74,14,4.29,PW,1698631752
205,badger,64.8,-147.5333,-2.02,87,75,0.0,US,1698631752
206,vengerovo,55.6848,76.7471,-5.52,81,100,5.42,RU,1698631752
207,kruisfontein,-34.0033,24.7314,8.61,81,14,1.68,ZA,1698631556
208,merizo village,13.2658,144.6691,31.31,90,29,4.09,GU,1698631753
209,gaiman,-43.2897,-65.4929,11.62,14,100,9.38,AR,1698631518
210,inhapi,-9.2214,-37.7486,20.92,82,9,3.52,BR,1698631753
211,hammerfest,70.6634,23.6821,-0.75,93,75,5.14,NO,1698631754
212,mabaruma,8.2,-59.7833,23.87,96,75,1.21,GY,1698631754
213,chokwe,-24.5333,32.9833,16.74,69,100,7.11,MZ,1698631755
214,zijinglu,34.76,112.9714,23.37,35,1,3.05,CN,1698631755
215,san antonio de pale,-1.4014,5.6325,26.36,83,56,3.62,GQ,1698631755
216,letterkenny,54.95,-7.7333,9.68,87,100,6.54,IE,1698631756
217,tyup,42.7276,78.3648,9.12,62,100,1.16,KG,1698631756
218,marat,25.0701,45.4615,20.94,28,69,2.93,SA,1698631757
219,nha trang,12.25,109.1833,28.0,74,100,1.82,VN,1698631757
220,vilyuysk,63.7553,121.6247,-11.67,92,89,2.24,RU,1698631757
221,buala,-8.145,159.5921,29.17,73,99,2.82,SB,1698631758
222,plastun,44.7561,136.2939,11.07,34,16,1.46,RU,1698631758
223,magadan,59.5667,150.8,0.85,70,8,0.68,RU,1698631759
224,brisas de zicatela,15.8369,-97.0419,29.29,54,40,2.57,MX,1698631759
225,timbuktu,16.7735,-3.0074,28.69,11,78,2.94,ML,1698631759
226,sao vicente,-23.9631,-46.3919,27.37,26,100,3.1,BR,1698631760
227,moncada,39.5456,-0.3955,17.49,68,0,2.57,ES,1698631760
228,isafjordur,66.0755,-23.124,1.0,81,21,1.47,IS,1698631761
229,nova sintra,14.8667,-24.7167,22.67,72,85,3.13,CV,1698631761
230,coquimbo,-29.9533,-71.3436,15.27,85,5,1.7,CL,1698631606
231,newman,37.3138,-121.0208,17.38,34,0,0.45,US,1698631762
232,gufeng,26.9083,118.9819,19.99,59,0,0.8,CN,1698631762
233,mar del plata,-38.0023,-57.5575,15.53,69,0,3.58,AR,1698631603
234,christchurch,-43.5333,172.6333,18.63,72,75,9.26,NZ,1698631597
235,aasiaat,68.7098,-52.8699,-4.49,78,100,3.76,GL,1698631763
236,estella-lizarra,42.6718,-2.0323,15.18,84,100,4.59,ES,1698631763
237,bikenibeu village,1.3673,173.1241,30.98,70,40,2.57,KI,1698631764
238,colusa,39.2143,-122.0094,19.01,17,0,2.8,US,1698631740
239,kharp,66.8014,65.8081,-14.59,98,100,1.4,RU,1698631764
240,crane,31.3974,-102.3501,3.17,77,100,9.24,US,1698631765
241,carthage,36.8611,10.3316,25.74,61,40,4.12,TN,1698631765
242,fort bragg,35.139,-79.006,20.46,89,0,0.45,US,1698631765
243,sangueya,10.7,-14.3667,24.23,93,22,0.59,GN,1698631766
244,maridi,4.9158,29.4742,20.3,95,94,1.34,SS,1698631766
245,polyarnyy,69.1989,33.4478,-6.39,93,100,3.32,RU,1698631766
246,vallenar,-28.5708,-70.7581,16.99,57,0,0.58,CL,1698631767
247,ulladulla,-35.35,150.4667,31.54,30,100,2.96,AU,1698631767
248,vyselki,45.5794,39.6597,12.11,60,0,1.95,RU,1698631767
249,san antonio,29.4241,-98.4936,11.96,78,100,11.83,US,1698631569
250,portland,45.5234,-122.6762,10.99,48,0,5.14,US,1698631640
251,constantia,44.1833,28.65,14.38,71,0,3.5,RO,1698631768
252,maun,-19.9833,23.4167,25.37,42,91,6.31,BW,1698631707
253,hovd,48.0056,91.6419,2.45,57,100,0.28,MN,1698631769
254,severo-yeniseyskiy,60.3725,93.0408,-15.79,99,86,0.89,RU,1698631769
255,vorgashor,67.5833,63.95,-18.54,99,34,2.11,RU,1698631770
256,sirte,31.2089,16.5887,22.34,74,80,3.85,LY,1698631770
257,labytnangi,66.6572,66.4183,-15.04,98,93,1.54,RU,1698631770
258,luderitz,-26.6481,15.1594,21.5,27,4,4.09,,1698631771
259,hermanus,-34.4187,19.2345,12.81,62,0,9.89,ZA,1698631771
260,freetown,8.484,-13.2299,25.96,82,58,2.04,SL,1698631771
